,JBHT
Price/Earnings (TTM),19.09529
Price/Sales (TTM),1.28951
Price/Book (MRQ),5.39382
Price/Cash Flow (TTM),11.63853
5yr Low,75.29
5yr High,218.18
5yr Avg Return,0.11895000000000001
EPS Growth 5yr,0.1336708
Revenue Growth 5yr,0.1316845
Dividend Growth 5yr,0.0604248
Short Int Current Month,3229855.0
Short Int Prev Month,3574194.0
Short Int Pct of Float,0.0394913
Days to Cover,4.59466
Float,81.90439
Shares Outstanding,103.5374
Institutions Holding Shares,834.0
% Held by Institutions,0.762252
FCF Growth 5yr,-2.5539652873412466
