,WBS
% Above Low,0.2949
% Held by Institutions,0.8675
52-Wk Range,['40.72 - 65.00']
Annual Dividend $,1.6
Annual Dividend %,0.029900000000000003
Ask,53.23
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,52.73
Day Change $,-0.86
Day Change %,-0.016
Day High,53.36
Day Low,52.64
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",3.4
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.36
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,9.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.77
Prev Close,53.59
Shares Outstanding,174.0M
Short Interest,0.023700000000000002
Today's Open,53.1
Volume,635464.0
Volume 10-day Avg,658021.0
Volume Past Day,(Average)
