,VVV
Price/Earnings (TTM),54.08703
Price/Sales (TTM),4.63356
Price/Book (MRQ),18.83914
Price/Cash Flow (TTM),31.6789
5yr Low,9.06
5yr High,37.97
5yr Avg Return,0.07890000000000001
EPS Growth 5yr,-0.1645755
Revenue Growth 5yr,-0.09919420000000001
Dividend Growth 5yr,0.2059874
Short Int Current Month,2990574.0
Short Int Prev Month,2466234.0
Short Int Pct of Float,0.0172015
Days to Cover,1.48167
Float,174.0042
Shares Outstanding,174.6203
Institutions Holding Shares,446.0
% Held by Institutions,0.92892
FCF Growth 5yr,-2.629196263291575
