,ST
Price/Earnings (TTM),22.96378
Price/Sales (TTM),1.75303
Price/Book (MRQ),2.26156
Price/Cash Flow (TTM),11.89957
5yr Low,18.25
5yr High,65.58
5yr Avg Return,-0.009650000000000004
EPS Growth 5yr,0.08309749999999999
Revenue Growth 5yr,0.0359503
Dividend Growth 5yr,
Short Int Current Month,4727778.0
Short Int Prev Month,4556512.0
Short Int Pct of Float,0.0310955
Days to Cover,4.09415
Float,152.0553
Shares Outstanding,152.9615
Institutions Holding Shares,536.0
% Held by Institutions,1.006427
FCF Growth 5yr,1.6871962088604846
