,ST
% Above Low,0.1796
% Held by Institutions,1.0064
52-Wk Range,['36.64 - 65.58']
Annual Dividend $,0.44
Annual Dividend %,0.0097
Ask,43.22
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.3
Bid,43.2
Bid Size,500.0
Day Change $,-2.04
Day Change %,-0.0451
Day High,44.95
Day Low,43.1
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.97
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.37
Last (size),100.0
Last (time),3:23p ET 11/28/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.96
Prev Close,45.26
Price,43.22
Shares Outstanding,153.0M
Short Interest,0.0311
Today's Open,44.63
Volume Past Day,(Light)
