,CBSH
Price/Earnings (TTM),19.27365
Price/Sales (TTM),6.14936
Price/Book (MRQ),3.81162
Price/Cash Flow (TTM),16.92755
5yr Low,41.28
5yr High,79.1
5yr Avg Return,0.09208333333333334
EPS Growth 5yr,0.1606118
Revenue Growth 5yr,0.0353498
Dividend Growth 5yr,0.0801884
Short Int Current Month,2765808.0
Short Int Prev Month,3171356.0
Short Int Pct of Float,0.0238331
Days to Cover,8.7339
Float,116.1783
Shares Outstanding,119.3526
Institutions Holding Shares,505.0
% Held by Institutions,0.673454
FCF Growth 5yr,0.4017304350310553
