,CBSH
% Below High,0.0016
% Held by Institutions,0.6735
52-Wk Range,['62.80 - 75.06']
Annual Dividend $,1.06
Annual Dividend %,0.0141
Ask,75.33
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.8
Bid,74.55
Bid Size,300.0
Closing Price,74.94
Day Change $,0.77
Day Change %,0.0104
Day High,75.06
Day Low,73.2
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",3.89
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.24600000000000002
Last (size),1300.0
Last (time),12:59p ET 11/25/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.27
Prev Close,74.17
Shares Outstanding,119.4M
Short Interest,0.023799999999999998
Today's Open,74.47
Volume,143721.0
Volume 10-day Avg,282188.0
Volume Past Day,(Light)
