,DCOM
% Below High,0.0885
% Held by Institutions,0.7384000000000001
52-Wk Range,['28.36 - 38.20']
Annual Dividend $,0.96
Annual Dividend %,0.0276
Ask,55.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,31.61
Bid Size,100.0
Closing Price,34.82
Day Change $,0.54
Day Change %,0.0158
Day High,35.01
Day Low,34.32
Dividend Pay Date,2022-10-24 00:00:00
"EPS (TTM, GAAP)",3.57
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.29600000000000004
Last (size),16.0
Last (time),12:59p ET 11/25/22
Market Cap,1.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.76
Prev Close,34.28
Shares Outstanding,38.6M
Short Interest,0.0441
Today's Open,34.35
Volume,49125.0
Volume 10-day Avg,85636.0
Volume Past Day,(Light)
