,DCOM
Price/Earnings (TTM),9.76017
Price/Sales (TTM),3.24732
Price/Book (MRQ),1.3113
Price/Cash Flow (TTM),
5yr Low,16.51
5yr High,38.35
5yr Avg Return,0.03583333333333333
EPS Growth 5yr,0.047414399999999995
Revenue Growth 5yr,0.2280353
Dividend Growth 5yr,0.0085483
Short Int Current Month,1578470.0
Short Int Prev Month,1588206.0
Short Int Pct of Float,0.044134200000000005
Days to Cover,14.95613
Float,35.77216
Shares Outstanding,38.57367
Institutions Holding Shares,213.0
% Held by Institutions,0.738355
FCF Growth 5yr,0.7708664898320071
