,HCCI
Price/Earnings (TTM),10.14121
Price/Sales (TTM),1.22492
Price/Book (MRQ),1.89674
Price/Cash Flow (TTM),7.42344
5yr Low,11.3
5yr High,36.29
5yr Avg Return,0.12688333333333332
EPS Growth 5yr,0.5839955
Revenue Growth 5yr,0.08191979999999999
Dividend Growth 5yr,
Short Int Current Month,462692.0
Short Int Prev Month,470880.0
Short Int Pct of Float,0.0301275
Days to Cover,4.15019
Float,15.50782
Shares Outstanding,24.1773
Institutions Holding Shares,197.0
% Held by Institutions,0.6215350000000001
FCF Growth 5yr,0.0693960978876668
