,HCCI
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.30452674897119336
Growth 1yr High Est,0.3464566929133859
Growth 1yr Consensus Est,0.3254917209422896
Growth 2yr Low Est,-0.014929054536485353
Growth 2yr High Est,0.1951581710180964
Growth 2yr Consensus Est,0.09011455824080553
Growth 5yr Low Est,0.410117890314175
Growth 5yr High Est,0.48899322692318964
Growth 5yr Consensus Est,0.4495555586186823
Growth 5yr Actual/Est,1.3501825058080987
Growth 3yr Historic,1.30720823798627
