,HCCI
% Below High,0.1059
% Held by Institutions,0.6214999999999999
52-Wk Range,['24.00 - 36.14']
Annual Dividend $,
Annual Dividend %,
Ask,33.5
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,32.15
Bid Size,100.0
Closing Price,32.31
Day Change $,-0.05
Day Change %,-0.0015
Day High,32.53
Day Low,31.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.19
Ex-dividend Date,No dividend
Historical Volatility,0.353
Last (size),32.0
Last (time),1:00p ET 11/25/22
Market Cap,781.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.14
Prev Close,32.36
Shares Outstanding,24.2M
Short Interest,0.0301
Today's Open,32.53
Volume,66563.0
Volume 10-day Avg,133149.0
Volume Past Day,(Light)
