,TSCO
Price/Earnings (TTM),24.33281
Price/Sales (TTM),1.83065
Price/Book (MRQ),12.76242
Price/Cash Flow (TTM),18.15753
5yr Low,58.27
5yr High,241.54
5yr Avg Return,0.2463666666666667
EPS Growth 5yr,0.2138603
Revenue Growth 5yr,0.1343124
Dividend Growth 5yr,0.17721309999999998
Short Int Current Month,4071633.0
Short Int Prev Month,4488337.0
Short Int Pct of Float,0.0370817
Days to Cover,3.10388
Float,109.8057
Shares Outstanding,110.4632
Institutions Holding Shares,1329.0
% Held by Institutions,0.8504609999999999
FCF Growth 5yr,-3.1434248037964347
