,TSCO
% Below High,0.0814
% Held by Institutions,0.8504999999999999
52-Wk Range,['166.49 - 241.54']
Annual Dividend $,3.68
Annual Dividend %,0.016399999999999998
Ask,222.8
Ask Size,3200.0
B/A Ratio,0.21875
B/A Size,700x3200
Beta,0.9
Bid,221.53
Bid Size,700.0
Closing Price,221.88
Day Change $,-2.14
Day Change %,-0.0096
Day High,225.47
Day Low,221.68
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",9.21
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.35600000000000004
Last (size),916.0
Last (time),4:00p ET 11/28/22
Market Cap,24.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.33
Prev Close,224.02
Shares Outstanding,110.5M
Short Interest,0.0371
Today's Open,223.81
Volume,1003925.0
Volume 10-day Avg,1126058.0
Volume Past Day,(Below Average)
