,VECO
Price/Earnings (TTM),25.9323
Price/Sales (TTM),1.54998
Price/Book (MRQ),2.26726
Price/Cash Flow (TTM),13.92985
5yr Low,6.27
5yr High,32.4
5yr Avg Return,0.13895000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.11950319999999999
Dividend Growth 5yr,
Short Int Current Month,4577430.0
Short Int Prev Month,4106317.0
Short Int Pct of Float,0.091271
Days to Cover,8.46346
Float,50.15616
Shares Outstanding,51.42515
Institutions Holding Shares,244.0
% Held by Institutions,1.020484
FCF Growth 5yr,0.8784972377601239
