,CSGS
Price/Earnings (TTM),46.91149
Price/Sales (TTM),1.78967
Price/Book (MRQ),5.61538
Price/Cash Flow (TTM),16.12102
5yr Low,30.4
5yr High,66.59
5yr Avg Return,0.09135
EPS Growth 5yr,0.0347658
Revenue Growth 5yr,0.0657973
Dividend Growth 5yr,0.0620713
Short Int Current Month,537769.0
Short Int Prev Month,636935.0
Short Int Pct of Float,0.0176206
Days to Cover,3.40412
Float,30.52693
Shares Outstanding,31.50543
Institutions Holding Shares,319.0
% Held by Institutions,0.963005
FCF Growth 5yr,-0.13503590073425664
