,BDX
Price/Earnings (TTM),44.27047
Price/Sales (TTM),3.57501
Price/Book (MRQ),2.66835
Price/Cash Flow (TTM),17.87505
5yr Low,197.75
5yr High,286.72
5yr Avg Return,0.015233333333333335
EPS Growth 5yr,0.0313866
Revenue Growth 5yr,0.09306900000000001
Dividend Growth 5yr,
Short Int Current Month,2572900.0
Short Int Prev Month,2953546.0
Short Int Pct of Float,0.0091221
Days to Cover,1.10602
Float,282.125
Shares Outstanding,283.3758
Institutions Holding Shares,1954.0
% Held by Institutions,0.8809650000000001
FCF Growth 5yr,0.5096831782816887
