,BDX
% Above Low,0.1026
% Held by Institutions,0.8809999999999999
52-Wk Range,['215.90 - 277.29']
Annual Dividend $,3.64
Annual Dividend %,0.015300000000000001
Ask,273.26
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.6
Bid,207.07
Bid Size,200.0
Closing Price,238.06
Day Change $,0.72
Day Change %,0.003
Day High,238.79
Day Low,236.5
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",5.38
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.267
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,67.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",44.27
Prev Close,237.34
Shares Outstanding,283.4M
Short Interest,0.0091
Today's Open,237.84
Volume,374999.0
Volume 10-day Avg,1729027.0
Volume Past Day,(Light)
