,EDIT
Price/Earnings (TTM),
Price/Sales (TTM),26.89489
Price/Book (MRQ),1.6629
Price/Cash Flow (TTM),
5yr Low,9.59
5yr High,99.95
5yr Avg Return,0.05075000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.3337169
Dividend Growth 5yr,
Short Int Current Month,18896877.0
Short Int Prev Month,18467835.0
Short Int Pct of Float,0.2761551
Days to Cover,12.56586
Float,68.42915
Shares Outstanding,68.76296
Institutions Holding Shares,350.0
% Held by Institutions,0.682359
FCF Growth 5yr,0.19587795673412467
