,EDIT
% Above Low,0.045899999999999996
% Held by Institutions,0.6823999999999999
52-Wk Range,['9.59 - 33.86']
Annual Dividend $,
Annual Dividend %,
Ask,10.04
Ask Size,700.0
B/A Ratio,0.8571428571428571
B/A Size,600x700
Beta,1.9
Bid,10.0
Bid Size,600.0
Closing Price,10.03
Day Change $,-0.34
Day Change %,-0.032799999999999996
Day High,10.27
Day Low,9.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.93
Ex-dividend Date,No dividend
Historical Volatility,0.865
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,689.0M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,10.37
Shares Outstanding,68.8M
Short Interest,0.2762
Today's Open,10.24
Volume,628460.0
Volume 10-day Avg,1935985.0
Volume Past Day,(Light)
