,URG
Price/Earnings (TTM),
Price/Sales (TTM),14792.71
Price/Book (MRQ),4.25845
Price/Cash Flow (TTM),
5yr Low,0.271
5yr High,2.15
5yr Avg Return,0.12146666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.7742771
Dividend Growth 5yr,
Short Int Current Month,7588753.0
Short Int Prev Month,8037943.0
Short Int Pct of Float,0.035078
Days to Cover,5.37095
Float,216.4713
Shares Outstanding,223.126
Institutions Holding Shares,114.0
% Held by Institutions,0.44961199999999996
FCF Growth 5yr,0.6511305956859371
