,URG
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1428571428571428
Growth 1yr High Est,-0.5
Growth 1yr Consensus Est,-0.1785714285714286
Growth 2yr Low Est,-0.2410714285714286
Growth 2yr High Est,-1.0833333333333335
Growth 2yr Consensus Est,-0.662202380952381
Growth 5yr Low Est,-0.02053571428571427
Growth 5yr High Est,0.7083333333333333
Growth 5yr Consensus Est,0.34389880952380947
Growth 5yr Actual/Est,-0.11250000000000004
Growth 3yr Historic,0.28333333333333327
