,URG
% Above Low,0.2829
% Held by Institutions,0.4496
52-Wk Range,['0.951 - 1.95']
Annual Dividend $,
Annual Dividend %,
Ask,1.33
Ask Size,100.0
B/A Ratio,164.0
B/A Size,16400x100
Beta,1.4
Bid,1.22
Bid Size,16400.0
Closing Price,1.22
Day Change $,-0.05
Day Change %,-0.0394
Day High,1.28
Day Low,1.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.772
Last (size),30.0
Last (time),8:00p ET 11/28/22
Market Cap,267.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.27
Shares Outstanding,223.1M
Short Interest,0.0351
Today's Open,1.27
Volume,587100.0
Volume 10-day Avg,884059.0
Volume Past Day,(Light)
