,SWX
% Above Low,0.08789999999999999
% Held by Institutions,0.8615999999999999
52-Wk Range,['62.60 - 95.62']
Annual Dividend $,2.48
Annual Dividend %,0.0354
Ask,68.14
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,68.1
Bid Size,100.0
Day Change $,-1.91
Day Change %,-0.0273
Day High,69.53
Day Low,67.91
Dividend Pay Date,2023-03-01 00:00:00
"EPS (TTM, GAAP)",2.45
Ex-dividend,2023-02-14 00:00:00
Ex-dividend Date,02/14/23
Historical Volatility,0.306
Last (size),100.0
Last (time),3:48p ET 11/28/22
Market Cap,4.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",28.58
Prev Close,70.01
Price,68.1
Shares Outstanding,67.1M
Short Interest,0.0337
Today's Open,69.43
Volume Past Day,(Light)
