,SWX
Price/Earnings (TTM),28.58368
Price/Sales (TTM),1.01555
Price/Book (MRQ),1.3757
Price/Cash Flow (TTM),7.79985
5yr Low,45.68
5yr High,95.62
5yr Avg Return,-0.030683333333333333
EPS Growth 5yr,0.0127721
Revenue Growth 5yr,0.0838667
Dividend Growth 5yr,0.0605784
Short Int Current Month,2240695.0
Short Int Prev Month,2301802.0
Short Int Pct of Float,0.0337406
Days to Cover,2.96259
Float,66.46396
Shares Outstanding,67.06782
Institutions Holding Shares,384.0
% Held by Institutions,0.8615970000000001
FCF Growth 5yr,-1.4640778413505684
