,SWX
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.1657142857142857
Growth 2yr High Est,0.2376237623762376
Growth 2yr Consensus Est,0.20166902404526166
Growth 5yr Low Est,0.1657142857142857
Growth 5yr High Est,0.2376237623762376
Growth 5yr Consensus Est,0.20166902404526166
Growth 5yr Actual/Est,0.040385515312743175
Growth 3yr Historic,-0.0168990166507271
