,UNVR
% Below High,0.047400000000000005
% Held by Institutions,0.9754999999999999
52-Wk Range,['21.49 - 34.00']
Annual Dividend $,
Annual Dividend %,
Ask,32.9
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.7
Bid,32.0
Bid Size,500.0
Closing Price,32.39
Day Change $,1.39
Day Change %,0.044800000000000006
Day High,33.58
Day Low,31.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.7
Ex-dividend Date,No dividend
Historical Volatility,0.373
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,5.3B
"P/E Ratio (TTM, GAAP)",8.38
Prev Close,31.0
Shares Outstanding,163.2M
Short Interest,0.0599
Today's Open,33.55
Volume,7300623.0
Volume 10-day Avg,2079860.0
Volume Past Day,(Heavy Day)
