,GOGL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1562500000000001
Growth 1yr High Est,-0.27181208053691275
Growth 1yr Consensus Est,-0.21403104026845643
Growth 2yr Low Est,-0.2791832010582011
Growth 2yr High Est,-0.23728852874771905
Growth 2yr Consensus Est,-0.2582358649029601
Growth 5yr Low Est,-0.2791832010582011
Growth 5yr High Est,-0.23728852874771905
Growth 5yr Consensus Est,-0.2582358649029601
Growth 5yr Actual/Est,-6.173573591468474
Growth 3yr Historic,-6.034274193548387
