,GOGL
% Above Low,0.2182
% Held by Institutions,0.29600000000000004
52-Wk Range,['7.24 - 16.46']
Annual Dividend $,1.4
Annual Dividend %,0.15869999999999998
Ask,8.8
Ask Size,2400.0
B/A Ratio,0.4583333333333333
B/A Size,1100x2400
Beta,1.4
Bid,8.72
Bid Size,1100.0
Closing Price,8.82
Day Change $,0.46
Day Change %,0.055
Day High,8.89
Day Low,8.59
Dividend Pay Date,2022-12-05 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.622
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",2.97
Prev Close,8.36
Shares Outstanding,200.9M
Short Interest,0.04650000000000001
Today's Open,8.7
Volume,2255297.0
Volume 10-day Avg,3055223.0
Volume Past Day,(Light)
