,GOGL
Price/Earnings (TTM),2.97372
Price/Sales (TTM),1.42233
Price/Book (MRQ),0.92173
Price/Cash Flow (TTM),2.43297
5yr Low,2.52
5yr High,16.46
5yr Avg Return,0.06656666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.3618394
Dividend Growth 5yr,
Short Int Current Month,5677535.0
Short Int Prev Month,6703127.0
Short Int Pct of Float,0.0464552
Days to Cover,2.17065
Float,122.2153
Shares Outstanding,200.8856
Institutions Holding Shares,224.0
% Held by Institutions,0.29603
FCF Growth 5yr,0.49638180693263373
