,BLD
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.5571428571428574
Growth 1yr High Est,0.552823315118397
Growth 1yr Consensus Est,0.5549830861306272
Growth 2yr Low Est,0.15930537352555707
Growth 2yr High Est,0.3315436223685826
Growth 2yr Consensus Est,0.24542449794706983
Growth 5yr Low Est,0.2811480958541769
Growth 5yr High Est,0.37267206171691974
Growth 5yr Consensus Est,0.3269100787855483
Growth 5yr Actual/Est,0.313750919684023
Growth 3yr Historic,0.20410799355471482
