,BLD
Price/Earnings (TTM),10.0256
Price/Sales (TTM),1.00055
Price/Book (MRQ),2.62232
Price/Cash Flow (TTM),7.86053
5yr Low,41.27
5yr High,284.07
5yr Avg Return,0.31060000000000004
EPS Growth 5yr,0.3851124
Revenue Growth 5yr,0.1487318
Dividend Growth 5yr,
Short Int Current Month,996961.0
Short Int Prev Month,1193630.0
Short Int Pct of Float,0.0313542
Days to Cover,1.50933
Float,31.81027
Shares Outstanding,31.97233
Institutions Holding Shares,465.0
% Held by Institutions,0.96801
FCF Growth 5yr,0.4354842570534417
