,BLD
% Above Low,0.0696
% Held by Institutions,0.968
52-Wk Range,['140.66 - 284.07']
Annual Dividend $,
Annual Dividend %,
Ask,151.14
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,120.0
Bid Size,200.0
Closing Price,150.45
Day Change $,0.36
Day Change %,0.0024
Day High,151.95
Day Low,149.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.01
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.03
Prev Close,150.09
Shares Outstanding,32.0M
Short Interest,0.031400000000000004
Today's Open,149.75
Volume,55623.0
Volume 10-day Avg,453690.0
Volume Past Day,(Light)
