,FELE
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.9333333333333331
Growth 1yr High Est,0.9302325581395352
Growth 1yr Consensus Est,0.9317829457364342
Growth 2yr Low Est,0.47405582922824296
Growth 2yr High Est,0.4759596525637435
Growth 2yr Consensus Est,0.47500774089599324
Growth 5yr Low Est,0.2323550174178598
Growth 5yr High Est,0.23567567881643398
Growth 5yr Consensus Est,0.2340153481171469
Growth 5yr Actual/Est,0.20733672822469645
Growth 3yr Historic,0.13713823516376367
