,FELE
% Below High,0.124
% Held by Institutions,0.8251000000000001
52-Wk Range,['68.27 - 96.19']
Annual Dividend $,0.78
Annual Dividend %,0.009300000000000001
Ask,86.0
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.0
Bid,33.92
Bid Size,200.0
Closing Price,84.26
Day Change $,0.1
Day Change %,0.0012
Day High,85.04
Day Low,83.91
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",4.0
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.335
Last (size),22.0
Last (time),1:00p ET 11/25/22
Market Cap,3.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.09
Prev Close,84.16
Shares Outstanding,46.3M
Short Interest,0.018600000000000002
Today's Open,83.91
Volume,54588.0
Volume 10-day Avg,119831.0
Volume Past Day,(Light)
