,FELE
Price/Earnings (TTM),21.08936
Price/Sales (TTM),1.96436
Price/Book (MRQ),3.80692
Price/Cash Flow (TTM),16.34879
5yr Low,38.45
5yr High,96.95
5yr Avg Return,0.12501666666666666
EPS Growth 5yr,0.1356897
Revenue Growth 5yr,0.1183754
Dividend Growth 5yr,0.1198302
Short Int Current Month,719960.0
Short Int Prev Month,903722.0
Short Int Pct of Float,0.0186438
Days to Cover,4.48188
Float,38.6065
Shares Outstanding,46.31853
Institutions Holding Shares,369.0
% Held by Institutions,0.825091
FCF Growth 5yr,-0.7581095098114363
