,GDYN
% Above Low,0.3627
% Held by Institutions,0.6942
52-Wk Range,['9.09 - 42.81']
Annual Dividend $,
Annual Dividend %,
Ask,12.74
Ask Size,1100.0
B/A Ratio,0.36363636363636365
B/A Size,400x1100
Beta,0.8
Bid,11.6
Bid Size,400.0
Closing Price,12.38
Day Change $,-0.37
Day Change %,-0.028999999999999998
Day High,12.75
Day Low,12.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,0.831
Last (size),23.0
Last (time),1:00p ET 11/25/22
Market Cap,916.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.75
Shares Outstanding,74.0M
Short Interest,0.0259
Today's Open,12.68
Volume,130845.0
Volume 10-day Avg,519012.0
Volume Past Day,(Light)
