,GDYN
Price/Earnings (TTM),
Price/Sales (TTM),3.09033
Price/Book (MRQ),2.6112
Price/Cash Flow (TTM),
5yr Low,4.61
5yr High,42.81
5yr Avg Return,0.32577999999999996
Short Int Current Month,1391245.0
Short Int Prev Month,1364978.0
Short Int Pct of Float,0.0258931
Days to Cover,1.89957
Float,51.61789
Shares Outstanding,73.99902
Institutions Holding Shares,240.0
% Held by Institutions,0.694169
FCF Growth 5yr,0.1310173933184325
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
