,ROL
% Below High,0.0706
% Held by Institutions,0.4192
52-Wk Range,['28.51 - 43.06']
Annual Dividend $,0.52
Annual Dividend %,0.013000000000000001
Ask,40.02
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.6
Bid,40.01
Bid Size,300.0
Day Change $,0.03
Day Change %,0.0008
Day High,40.34
Day Low,39.78
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",0.7
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.305
Last (size),207.0
Last (time),1:10p ET 11/28/22
Market Cap,19.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",56.95
Prev Close,39.99
Price,40.02
Shares Outstanding,492.5M
Short Interest,0.0529
Today's Open,39.78
Volume Past Day,(Light)
