,FRPT
% Above Low,0.8523000000000001
% Held by Institutions,1.1723999999999999
52-Wk Range,['36.02 - 118.77']
Annual Dividend $,
Annual Dividend %,
Ask,67.09
Ask Size,1900.0
B/A Ratio,0.5263157894736842
B/A Size,1000x1900
Beta,0.8
Bid,66.39
Bid Size,1000.0
Closing Price,66.72
Day Change $,1.7
Day Change %,0.026099999999999998
Day High,67.13
Day Low,64.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.45
Ex-dividend Date,No dividend
Historical Volatility,0.669
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,65.02
Shares Outstanding,48.0M
Short Interest,0.1079
Today's Open,64.49
Volume,156835.0
Volume 10-day Avg,442811.0
Volume Past Day,(Light)
