,FRPT
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,1.028985507246377
Growth 1yr High Est,1.1818181818181817
Growth 1yr Consensus Est,1.1054018445322793
Growth 2yr Low Est,0.4537784679089028
Growth 2yr High Est,0.09090909090909083
Growth 2yr Consensus Est,0.2723437794089968
Growth 5yr Low Est,2.4411749482401652
Growth 5yr High Est,-2.168831168831169
Growth 5yr Consensus Est,0.13617188970449817
Growth 5yr Actual/Est,2.146896853146853
Growth 3yr Historic,2.03125
