,FRPT
Price/Earnings (TTM),
Price/Sales (TTM),5.87462
Price/Book (MRQ),3.09807
Price/Cash Flow (TTM),
5yr Low,15.67
5yr High,186.98
5yr Avg Return,0.39026666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.2617473
Dividend Growth 5yr,
Short Int Current Month,4995755.0
Short Int Prev Month,5741359.0
Short Int Pct of Float,0.1078766
Days to Cover,6.48517
Float,46.42158
Shares Outstanding,48.02007
Institutions Holding Shares,311.0
% Held by Institutions,1.172356
FCF Growth 5yr,0.14084220923393953
