,CMPS
% Above Low,0.5367000000000001
% Held by Institutions,0.1709
52-Wk Range,['6.54 - 34.79']
Annual Dividend $,
Annual Dividend %,
Ask,10.33
Ask Size,300.0
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,
Bid,10.1
Bid Size,400.0
Closing Price,10.05
Day Change $,-0.43
Day Change %,-0.040999999999999995
Day High,10.72
Day Low,9.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.04
Ex-dividend Date,No dividend
Historical Volatility,0.812
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,426.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,10.48
Shares Outstanding,42.6M
Short Interest,0.18170000000000003
Today's Open,10.55
Volume,99054.0
Volume 10-day Avg,242358.0
Volume Past Day,(Light)
