,ASO
Price/Earnings (TTM),7.16227
Price/Sales (TTM),0.62698
Price/Book (MRQ),2.70157
Price/Cash Flow (TTM),5.49854
5yr Low,12.05
5yr High,52.34
5yr Avg Return,0.6714333333333333
EPS Growth 5yr,0.6328123
Revenue Growth 5yr,0.07406399999999999
Dividend Growth 5yr,
Short Int Current Month,14425927.0
Short Int Prev Month,12736074.0
Short Int Pct of Float,0.18385780000000002
Days to Cover,9.10432
Float,77.95109
Shares Outstanding,79.7366
Institutions Holding Shares,403.0
% Held by Institutions,0.9926860000000001
FCF Growth 5yr,0.3560712921331805
