,CWEN
5yr Low,12.12
5yr High,41.79
5yr Avg Return,0.12333333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0443838
Dividend Growth 5yr,
FCF Growth 5yr,1.4972064719516485
