,CWEN
% Below High,0.1381
% Held by Institutions,
52-Wk Range,['29.61 - 41.79']
Annual Dividend $,1.47
Annual Dividend %,0.0408
Ask,38.46
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,30.0
Bid Size,100.0
Closing Price,36.02
Day Change $,0.15
Day Change %,0.0042
Day High,36.25
Day Low,35.82
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.32299999999999995
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,35.87
Shares Outstanding,116.8M
Short Interest,
Today's Open,35.82
Volume,177670.0
Volume 10-day Avg,497701.0
Volume Past Day,(Light)
