,FIGS
% Above Low,0.1243
% Held by Institutions,0.7962
52-Wk Range,['5.55 - 34.55']
Annual Dividend $,
Annual Dividend %,
Ask,6.24
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,5.7
Bid Size,200.0
Closing Price,6.24
Day Change $,0.0
Day Change %,0.0
Day High,6.27
Day Low,6.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.17
Ex-dividend Date,No dividend
Historical Volatility,0.8440000000000001
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",36.66
Prev Close,6.24
Shares Outstanding,166.0M
Short Interest,0.2725
Today's Open,6.2
Volume,668787.0
Volume 10-day Avg,4947499.0
Volume Past Day,(Light)
