,SGEN
% Above Low,0.1617
% Held by Institutions,0.8802
52-Wk Range,['105.43 - 183.00']
Annual Dividend $,
Annual Dividend %,
Ask,122.65
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,122.48
Bid Size,200.0
Day Change $,-0.96
Day Change %,-0.0078000000000000005
Day High,125.08
Day Low,122.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.46
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),3.0
Last (time),2:05p ET 11/28/22
Market Cap,22.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,123.44
Price,122.48
Shares Outstanding,185.7M
Short Interest,0.013500000000000002
Today's Open,124.14
Volume Past Day,(Light)
