,SGEN
Price/Earnings (TTM),
Price/Sales (TTM),12.29457
Price/Book (MRQ),8.10305
Price/Cash Flow (TTM),
5yr Low,47.75
5yr High,213.94
5yr Avg Return,0.21213333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.3036338
Dividend Growth 5yr,
Short Int Current Month,2477349.0
Short Int Prev Month,2320582.0
Short Int Pct of Float,0.0134918
Days to Cover,2.24316
Float,183.6317
Shares Outstanding,185.6649
Institutions Holding Shares,793.0
% Held by Institutions,0.880244
FCF Growth 5yr,0.037039670662480484
