,CHTR
% Above Low,0.3106
% Held by Institutions,0.6576000000000001
52-Wk Range,['297.66 - 693.09']
Annual Dividend $,
Annual Dividend %,
Ask,391.07
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,389.15
Bid Size,100.0
Closing Price,390.11
Day Change $,-0.12
Day Change %,-0.0003
Day High,394.4
Day Low,387.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",32.01
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),11.0
Last (time),12:59p ET 11/25/22
Market Cap,60.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.19
Prev Close,390.23
Shares Outstanding,155.7M
Short Interest,0.09230000000000001
Today's Open,393.06
Volume,444857.0
Volume 10-day Avg,1134899.0
Volume Past Day,(Light)
