,CHTR
Price/Earnings (TTM),12.18796
Price/Sales (TTM),1.13386
Price/Book (MRQ),6.83196
Price/Cash Flow (TTM),3.97209
5yr Low,250.1
5yr High,825.62
5yr Avg Return,0.09348333333333335
EPS Growth 5yr,0.08943279999999999
Revenue Growth 5yr,0.1224817
Dividend Growth 5yr,
Short Int Current Month,9151001.0
Short Int Prev Month,8275310.0
Short Int Pct of Float,0.09231070000000001
Days to Cover,6.94939
Float,99.12742
Shares Outstanding,155.6723
Institutions Holding Shares,1217.0
% Held by Institutions,0.6575650000000001
FCF Growth 5yr,0.15817351142966526
