,BIO
Price/Earnings (TTM),
Price/Sales (TTM),4.27324
Price/Book (MRQ),1.42551
Price/Cash Flow (TTM),
5yr Low,220.05
5yr High,832.7
5yr Avg Return,0.14888333333333337
EPS Growth 5yr,1.760373
Revenue Growth 5yr,0.0716054
Dividend Growth 5yr,
Short Int Current Month,284122.0
Short Int Prev Month,251954.0
Short Int Pct of Float,0.0134157
Days to Cover,0.78495
Float,21.31781
Shares Outstanding,29.82413
Institutions Holding Shares,731.0
% Held by Institutions,0.7942480000000001
FCF Growth 5yr,0.29779073044364235
