,GBX
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.37305699481865284
Growth 1yr High Est,0.3627906976744186
Growth 1yr Consensus Est,0.36792384624653574
Growth 2yr Low Est,0.252566233258383
Growth 2yr High Est,0.20869910310342088
Growth 2yr Consensus Est,0.23063266818090195
Growth 5yr Low Est,0.1262831166291915
Growth 5yr High Est,0.10434955155171044
Growth 5yr Consensus Est,0.11531633409045097
Growth 5yr Actual/Est,0.21885386119257086
Growth 3yr Historic,-0.05086580086580092
