,GBX
% Above Low,0.5974
% Held by Institutions,0.9146
52-Wk Range,['23.80 - 53.46']
Annual Dividend $,1.08
Annual Dividend %,0.028399999999999998
Ask,41.86
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,33.02
Bid Size,100.0
Closing Price,38.01
Day Change $,0.02
Day Change %,0.0005
Day High,38.54
Day Low,38.01
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",1.39
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.45299999999999996
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.43
Prev Close,37.99
Shares Outstanding,32.8M
Short Interest,0.0395
Today's Open,38.06
Volume,65265.0
Volume 10-day Avg,260844.0
Volume Past Day,(Light)
