,QNST
Price/Earnings (TTM),
Price/Sales (TTM),1.31996
Price/Book (MRQ),2.63345
Price/Cash Flow (TTM),175.1958
5yr Low,5.76
5yr High,25.99
5yr Avg Return,0.11356666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.14192449999999998
Dividend Growth 5yr,
Short Int Current Month,1246674.0
Short Int Prev Month,1112410.0
Short Int Pct of Float,0.024685199999999997
Days to Cover,3.65043
Float,51.00367
Shares Outstanding,53.64035
Institutions Holding Shares,192.0
% Held by Institutions,0.883172
FCF Growth 5yr,-0.19051000657065933
