,BHLB
Price/Earnings (TTM),17.806
Price/Sales (TTM),3.64269
Price/Book (MRQ),1.49422
Price/Cash Flow (TTM),14.46899
5yr Low,8.55
5yr High,44.25
5yr Avg Return,0.03316666666666667
EPS Growth 5yr,0.04931
Revenue Growth 5yr,0.0324967
Dividend Growth 5yr,-0.0971195
Short Int Current Month,2243785.0
Short Int Prev Month,2015509.0
Short Int Pct of Float,0.052259200000000006
Days to Cover,8.35291
Float,42.93567
Shares Outstanding,45.02506
Institutions Holding Shares,259.0
% Held by Institutions,0.826433
FCF Growth 5yr,1.6061737615135676
