,BHLB
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.1601731601731602
Growth 1yr High Est,-0.17695473251028815
Growth 1yr Consensus Est,-0.16856394634172417
Growth 2yr Low Est,0.020428883830945765
Growth 2yr High Est,0.06152263374485595
Growth 2yr Consensus Est,0.04097575878790086
Growth 5yr Low Est,-1.6859272279731679
Growth 5yr High Est,-1.6522144060212447
Growth 5yr Consensus Est,-1.6690708169972062
Growth 5yr Actual/Est,-1.636849145010714
Growth 3yr Historic,-1.6589059383331448
