,ACET
% Below High,0.2158
% Held by Institutions,0.8998999999999999
52-Wk Range,['9.29 - 21.87']
Annual Dividend $,
Annual Dividend %,
Ask,17.67
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,2.1
Bid,16.4
Bid Size,100.0
Closing Price,17.15
Day Change $,-0.05
Day Change %,-0.0029
Day High,17.23
Day Low,16.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.893
Last (size),70.0
Last (time),1:00p ET 11/25/22
Market Cap,734.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,17.2
Shares Outstanding,42.9M
Short Interest,0.08259999999999999
Today's Open,17.18
Volume,277915.0
Volume 10-day Avg,700289.0
Volume Past Day,(Light)
