,ACET
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.25116279069767433
Growth 1yr High Est,-0.2171052631578948
Growth 1yr Consensus Est,-0.23413402692778457
Growth 2yr Low Est,0.21603351148346095
Growth 2yr High Est,-0.7724181777974348
Growth 2yr Consensus Est,-0.27819233315698694
Growth 5yr Low Est,0.21603351148346095
Growth 5yr High Est,-0.7724181777974348
Growth 5yr Consensus Est,-0.2781923331569869
Growth 5yr Actual/Est,-0.2984553802886225
Growth 3yr Historic,-0.32595538028862253
