,ACET
Price/Earnings (TTM),
Price/Sales (TTM),24.12832
Price/Book (MRQ),2.31006
Price/Cash Flow (TTM),
5yr Low,6.02
5yr High,147.68
5yr Avg Return,-0.16042
Short Int Current Month,3099109.0
Short Int Prev Month,3585830.0
Short Int Pct of Float,0.0826111
Days to Cover,4.6762
Float,38.3475
Shares Outstanding,42.85134
Institutions Holding Shares,143.0
% Held by Institutions,0.899872
FCF Growth 5yr,-3.8959362590051634
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
