,LAD
% Above Low,0.2762
% Held by Institutions,1.0187
52-Wk Range,['180.00 - 349.61']
Annual Dividend $,1.68
Annual Dividend %,0.0073
Ask,233.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,183.0
Bid Size,100.0
Closing Price,229.72
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",44.73
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.435
Last (size),40.0
Last (time),5:00p ET 11/25/22
Market Cap,6.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.14
Prev Close,229.72
Shares Outstanding,27.3M
Short Interest,0.08
Today's Open,
Volume,128747.0
Volume 10-day Avg,468570.0
Volume Past Day,(Light)
