,LAD
Price/Earnings (TTM),5.13618
Price/Sales (TTM),0.22795
Price/Book (MRQ),1.26759
Price/Cash Flow (TTM),4.29561
5yr Low,55.74
5yr High,417.98
5yr Avg Return,0.22344999999999998
EPS Growth 5yr,0.3647416
Revenue Growth 5yr,0.2134507
Dividend Growth 5yr,0.07439269999999999
Short Int Current Month,2142483.0
Short Int Prev Month,1941276.0
Short Int Pct of Float,0.0799675
Days to Cover,3.83642
Float,26.79538
Shares Outstanding,27.33841
Institutions Holding Shares,513.0
% Held by Institutions,1.0187300000000001
FCF Growth 5yr,3.40859993184001
