,LAD
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.19013698630136977
Growth 1yr High Est,0.1766331658291458
Growth 1yr Consensus Est,0.18338507606525778
Growth 2yr Low Est,-0.08299320114029118
Growth 2yr High Est,0.047423992694628436
Growth 2yr Consensus Est,-0.017784604222831374
Growth 5yr Low Est,0.365403412594678
Growth 5yr High Est,0.44484813392654854
Growth 5yr Consensus Est,0.4051257732606133
Growth 5yr Actual/Est,0.4228052381309047
Growth 3yr Historic,0.43685710265414585
