,FBMS
% Below High,0.15810000000000002
% Held by Institutions,0.6834
52-Wk Range,['26.95 - 41.23']
Annual Dividend $,0.8
Annual Dividend %,0.023
Ask,54.32
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.9
Bid,13.88
Bid Size,200.0
Closing Price,34.71
Day Change $,0.17
Day Change %,0.0049
Day High,34.78
Day Low,34.48
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.93
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.256
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,834.0M
"P/E Ratio (TTM, GAAP)",11.84
Prev Close,34.54
Shares Outstanding,24.0M
Short Interest,0.0433
Today's Open,34.6
Volume,42452.0
Volume 10-day Avg,102908.0
Volume Past Day,(Light)
